"","pred","obs","BRCA","HNSC","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"1","HNSC","HNSC",0.193880796432495,0.806119203567505,1,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"2","HNSC","HNSC",0.272675186395645,0.727324813604355,7,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"3","HNSC","HNSC",0.265241920948029,0.734758079051971,8,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"4","HNSC","HNSC",0.202866584062576,0.797133415937424,13,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"5","HNSC","HNSC",0.359238475561142,0.640761524438858,41,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"6","HNSC","HNSC",0.24682754278183,0.75317245721817,65,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"7","HNSC","HNSC",0.389468520879745,0.610531479120255,70,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"8","HNSC","HNSC",0.293935745954514,0.706064254045486,71,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"9","BRCA","BRCA",0.804262340068817,0.195737659931183,77,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"10","HNSC","HNSC",0.233094170689583,0.766905829310417,11,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"11","HNSC","HNSC",0.198234438896179,0.801765561103821,32,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"12","HNSC","HNSC",0.213074147701263,0.786925852298737,37,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"13","HNSC","HNSC",0.206903591752052,0.793096408247948,38,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"14","HNSC","HNSC",0.198234438896179,0.801765561103821,51,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"15","HNSC","HNSC",0.206903591752052,0.793096408247948,61,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"16","HNSC","HNSC",0.202861294150352,0.797138705849648,69,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"17","HNSC","BRCA",0.461716622114182,0.538283377885818,79,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"18","HNSC","BRCA",0.467820167541504,0.532179832458496,86,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"19","HNSC","HNSC",0.281969100236893,0.718030899763107,6,10,4,0.1,0,0.7,1,0.8,"Fold03.Rep1"
"20","HNSC","HNSC",0.238829299807549,0.761170700192451,14,10,4,0.1,0,0.7,1,0.8,"Fold03.Rep1"
"21","HNSC","HNSC",0.238829299807549,0.761170700192451,22,10,4,0.1,0,0.7,1,0.8,"Fold03.Rep1"
"22","HNSC","HNSC",0.238264724612236,0.761735275387764,23,10,4,0.1,0,0.7,1,0.8,"Fold03.Rep1"
"23","HNSC","HNSC",0.243348941206932,0.756651058793068,42,10,4,0.1,0,0.7,1,0.8,"Fold03.Rep1"
